row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales,shipping_days
1,ca-2017-152156,2017-08-11,2017-11-11,Second Class,CG-12520,claire gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,bush somerset collection bookcase,261.96,92.0
2,ca-2017-152156,2017-08-11,2017-11-11,Second Class,CG-12520,claire gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,92.0
14,ca-2017-161389,2017-05-12,2017-10-12,Standard Class,IM-15070,irene maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,fellowes pb200 plastic comb binding machine,407.976,153.0
36,ca-2017-117590,2017-08-12,2017-10-12,First Class,GH-14485,gene hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,ge 30524ee4,1097.544,61.0
37,ca-2017-117590,2017-08-12,2017-10-12,First Class,GH-14485,gene hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,61.0
68,ca-2015-106376,2015-05-12,2015-10-12,Standard Class,BS-11590,brendan sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,153.0
69,ca-2015-106376,2015-05-12,2015-10-12,Standard Class,BS-11590,brendan sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,nettalk duo voip telephone service,167.968,153.0
70,ca-2017-119823,2017-04-06,2017-06-06,First Class,KD-16270,karen daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,61.0
76,us-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,ken brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,economy binders,1.248,61.0
77,us-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,ken brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" cubicle wall clock, black",9.708,61.0
78,us-2018-118038,2018-09-12,2018-11-12,First Class,KB-16600,ken brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,61.0
84,ca-2016-149734,2016-03-09,2016-08-09,Standard Class,JC-16105,julie creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,153.0
89,ca-2017-159695,2017-05-04,2017-10-04,Second Class,GM-14455,gary mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,eldon portable mobile manager,158.368,153.0
96,us-2018-109484,2018-06-11,2018-12-11,Standard Class,RB-19705,roger barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,flexible leather- look classic collection ring binder,5.682,183.0
97,ca-2018-161018,2018-09-11,2018-11-11,Second Class,PN-18775,parhena norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 diameter round wall clock,96.53,61.0
99,ca-2017-149223,2017-06-09,2017-11-09,Standard Class,ER-13855,elpida rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,fellowes basic home/office series surge protectors,77.88,153.0
103,ca-2017-129903,2017-01-12,2017-04-12,Second Class,GZ-14470,gary zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,90.0
112,ca-2017-128867,2017-03-11,2017-10-11,Standard Class,CL-12565,clay ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"hunt powerhouse electric pencil sharpener, blue",75.96,214.0
113,ca-2017-128867,2017-03-11,2017-10-11,Standard Class,CL-12565,clay ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"avery durable plastic 1"" binders",27.24,214.0
118,ca-2016-110457,2016-02-03,2016-06-03,Standard Class,DK-13090,dave kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,hon racetrack conference tables,787.53,121.0
119,us-2016-136476,2016-05-04,2016-10-04,Standard Class,GG-14650,greg guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,gbc docubind 300 electric binding machine,157.794,153.0
127,us-2018-107272,2018-05-11,2018-12-11,Standard Class,TS-21610,troy staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"avery durable slant ring binders, no labels",2.388,214.0
128,us-2018-107272,2018-05-11,2018-12-11,Standard Class,TS-21610,troy staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"trav-l-file heavy-duty shuttle ii, black",243.992,214.0
129,us-2017-125969,2017-06-11,2017-10-11,Second Class,LS-16975,lindsay shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"global task chair, black",81.424,122.0
130,us-2017-125969,2017-06-11,2017-10-11,Second Class,LS-16975,lindsay shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,eldon cleatmat plus chair mats for high pile carpets,238.56,122.0
